instance,benchmarkNumber,DiskPartition,cachedReadingSpeed,regularReadingSpeed
c5.xlarge,1,nvme0n1,9207.46,170.61
c5.xlarge,2,nvme0n1,9053.52,170.61
c5.xlarge,3,nvme0n1,9052.44,170.61
c5.xlarge,4,nvme0n1,9347.54,170.61
c5.xlarge,5,nvme0n1,9378.21,170.61
